genome_ID	OTU	NCBI_ID	novelty_category
genome1	1	470	Known_strain
genome2	2	1660	Known_strain
genome3	3	1396	Known_strain
genome4	4	821	Known_strain
genome5	5	5476	Known_strain
genome6	6	1520	Known_strain
genome7	7	1299	Known_strain
genome8	8	1351	Known_strain
genome9	9	562	Known_strain
genome10	10	210	Known_strain
genome11	11	1596	Known_strain
genome12	12	1639	Known_strain
genome13	13	2173	Known_strain
genome14	14	487	Known_strain
genome15	15	1747	Known_strain
genome16	16	287	Known_strain
genome17	17	1063	Known_strain
genome18	18	1280	Known_strain
genome19	19	1282	Known_strain
genome20	20	1311	Known_strain
genome21	21	1309	Known_strain
genome22	22	1313	Known_strain
